,,,Page Description 1,Page Description 2,Column Description,Category,Subcategory,Tertiary Category,Field,Calculated,Next Item
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,,,,Total Liabilities,Minus
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,,,,,Total Deferred Inflows of Resources,End
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Net Position,,,,Total Net Position,Equal
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Assets,,,,Total Assets,Plus
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,,,,,Total Deferred Outflows of Resources,Minus
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Liabilities,,,,Total Liabilities,Minus
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,,,,,Total Deferred Inflows of Resources,End
"STATEMENT OF REVENUES, EXPENSES AND CHANGES IN NET POSITION",PROPRIETARY FUNDS,Enterprise Funds Water,"STATEMENT OF REVENUES, EXPENSES AND CHANGES IN NET POSITION",PROPRIETARY FUNDS,Enterprise Funds Water,,,,,"Net Position, End of Year",Equal
"STATEMENT OF REVENUES, EXPENSES AND CHANGES IN NET POSITION",PROPRIETARY FUNDS,Enterprise Funds Water,STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Net Position,,,,Total Net Position,End
"STATEMENT OF REVENUES, EXPENSES AND CHANGES IN NET POSITION",PROPRIETARY FUNDS,Enterprise Funds Sewer,"STATEMENT OF REVENUES, EXPENSES AND CHANGES IN NET POSITION",PROPRIETARY FUNDS,Enterprise Funds Sewer,,,,,"Net Position, End of Year",Equal
"STATEMENT OF REVENUES, EXPENSES AND CHANGES IN NET POSITION",PROPRIETARY FUNDS,Enterprise Funds Sewer,STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Net Position,,,,Total Net Position,End
"STATEMENT OF REVENUES, EXPENSES AND CHANGES IN NET POSITION",PROPRIETARY FUNDS,Enterprise Funds Landfill,"STATEMENT OF REVENUES, EXPENSES AND CHANGES IN NET POSITION",PROPRIETARY FUNDS,Enterprise Funds Landfill,,,,,"Net Position, End of Year",Equal
"STATEMENT OF REVENUES, EXPENSES AND CHANGES IN NET POSITION",PROPRIETARY FUNDS,Enterprise Funds Landfill,STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Net Position,,,,Total Net Position,End
