Page Description 1,Page Description 2,Column Description,Category,Subcategory,Tertiary Category,Field,Calculated,SumGroup,Sign,Type,HelpString,TestNumber
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Expenses,Instruction,,Regular,,Total Governmental Activities Expenses,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Expenses,Instruction,,Special,,Total Governmental Activities Expenses,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Expenses,Instruction,,Vocational,,Total Governmental Activities Expenses,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Expenses,Instruction,,Adult or Continuing,,Total Governmental Activities Expenses,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Expenses,Instruction,,Student Intervention Services,,Total Governmental Activities Expenses,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Expenses,Instruction,,Other Instruction,,Total Governmental Activities Expenses,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Expenses,Support Services,,Pupils,,Total Governmental Activities Expenses,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Expenses,Support Services,,Instructional Staff,,Total Governmental Activities Expenses,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Expenses,Support Services,,Board of Education,,Total Governmental Activities Expenses,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Expenses,Support Services,,Administration,,Total Governmental Activities Expenses,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Expenses,Support Services,,Fiscal,,Total Governmental Activities Expenses,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Expenses,Support Services,,Business,,Total Governmental Activities Expenses,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Expenses,Support Services,,Operation and Maintenance of Plant,,Total Governmental Activities Expenses,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Expenses,Support Services,,Pupil Transportation,,Total Governmental Activities Expenses,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Expenses,Support Services,,Central,,Total Governmental Activities Expenses,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Expenses,,,Operation of Non-Instructional Services,,Total Governmental Activities Expenses,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Expenses,,,Extracurricular Activities,,Total Governmental Activities Expenses,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Expenses,,,Interest and Fiscal Charges,,Total Governmental Activities Expenses,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Expenses,,,Depreciation Expense,,Total Governmental Activities Expenses,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Expenses,,,Other Expenses,,Total Governmental Activities Expenses,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Expenses,,,,Total Governmental Activities Expenses,Change in Net Position,-,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,,,,,Change in Net Position,"Net Position, End of Year",,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,,,,"Net Position, Beginning of Year",,"Net Position, End of Year",,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,,,,,"Net Position, End of Year",,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Assets,,,Cash and Cash Equivalents,,Total Assets,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Assets,,,Investments,,Total Assets,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Assets,,,Inventory Held for Resale,,Total Assets,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Assets,,,Materials and Supplies Inventory,,Total Assets,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Assets,,,Accrued Interest Receivable,,Total Assets,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Assets,,,Accounts Receivable,,Total Assets,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Assets,,,Interfund Receivable,,Total Assets,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Assets,,,Intergovernmental Receivable,,Total Assets,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Assets,,,Prepaid Items,,Total Assets,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Assets,,,Income Taxes Receivable,,Total Assets,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Assets,,,Property Taxes Receivable,,Total Assets,,,"propertyTaxesReceivable,propertyTaxesReceivable2",
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Assets,,,Payment in Lieu of Taxes Receivable,,Total Assets,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Assets,,,Loans Receivable,,Total Assets,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Assets,,,Advances to Other Funds,,Total Assets,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Assets,,,Restricted Assets,,Total Assets,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Assets,,,Other Assets,,Total Assets,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Assets,,,,Total Assets,Total Assets and Deferred Outflows of Resources,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,,,,Total Deferred Outflows of Resources,,Total Assets and Deferred Outflows of Resources,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,,,,,Total Assets and Deferred Outflows of Resources,,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Liabilities,,,Accounts Payable,,Total Liabilities,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Liabilities,,,Accrued Wages and Benefits,,Total Liabilities,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Liabilities,,,Contracts Payable,,Total Liabilities,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Liabilities,,,Intergovernmental Payable,,Total Liabilities,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Liabilities,,,Matured Compensated Absences Payable,,Total Liabilities,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Liabilities,,,Matured Interest Payable,,Total Liabilities,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Liabilities,,,Matured Bonds Payable,,Total Liabilities,,,maturedBondsPayable,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Liabilities,,,Accrued Interest Payable,,Total Liabilities,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Liabilities,,,Retainage Payable,,Total Liabilities,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Liabilities,,,Interfund Payable,,Total Liabilities,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Liabilities,,,Claims Payable,,Total Liabilities,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Liabilities,,,Unearned Revenue,,Total Liabilities,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Liabilities,,,Advances from Other Funds,,Total Liabilities,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Liabilities,,,Notes Payable,,Total Liabilities,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Liabilities,,,Other Liabilities,,Total Liabilities,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Liabilities,,,,Total Liabilities,"Total Liabilities, Deferred Inflows of Resources and Fund Balances",,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,,,,Total Deferred Inflows of Resources,,"Total Liabilities, Deferred Inflows of Resources and Fund Balances",,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Fund Balances,,,Nonspendable,,Total Fund Balances (Deficits),,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Fund Balances,,,Restricted,,Total Fund Balances (Deficits),,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Fund Balances,,,Committed,,Total Fund Balances (Deficits),,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Fund Balances,,,Assigned,,Total Fund Balances (Deficits),,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Fund Balances,,,Unassigned,,Total Fund Balances (Deficits),,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Fund Balances,,,,Total Fund Balances (Deficits),"Total Liabilities, Deferred Inflows of Resources and Fund Balances",,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,,,,,"Total Liabilities, Deferred Inflows of Resources and Fund Balances",,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Assets,,,Cash and Cash Equivalents,,Total Assets,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Assets,,,Investments,,Total Assets,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Assets,,,Inventory Held for Resale,,Total Assets,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Assets,,,Materials and Supplies Inventory,,Total Assets,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Assets,,,Accrued Interest Receivable,,Total Assets,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Assets,,,Accounts Receivable,,Total Assets,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Assets,,,Interfund Receivable,,Total Assets,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Assets,,,Intergovernmental Receivable,,Total Assets,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Assets,,,Prepaid Items,,Total Assets,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Assets,,,Income Taxes Receivable,,Total Assets,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Assets,,,Property Taxes Receivable,,Total Assets,,,"propertyTaxesReceivable,propertyTaxesReceivable2",
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Assets,,,Payment in Lieu of Taxes Receivable,,Total Assets,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Assets,,,Loans Receivable,,Total Assets,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Assets,,,Advances to Other Funds,,Total Assets,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Assets,,,Restricted Assets,,Total Assets,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Assets,,,Other Assets,,Total Assets,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Assets,,,,Total Assets,Total Assets and Deferred Outflows of Resources,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,,,,Total Deferred Outflows of Resources,,Total Assets and Deferred Outflows of Resources,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,,,,,Total Assets and Deferred Outflows of Resources,,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Liabilities,,,Accounts Payable,,Total Liabilities,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Liabilities,,,Accrued Wages and Benefits,,Total Liabilities,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Liabilities,,,Contracts Payable,,Total Liabilities,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Liabilities,,,Intergovernmental Payable,,Total Liabilities,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Liabilities,,,Matured Compensated Absences Payable,,Total Liabilities,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Liabilities,,,Matured Interest Payable,,Total Liabilities,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Liabilities,,,Matured Bonds Payable,,Total Liabilities,,,maturedBondsPayable,
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Liabilities,,,Accrued Interest Payable,,Total Liabilities,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Liabilities,,,Retainage Payable,,Total Liabilities,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Liabilities,,,Interfund Payable,,Total Liabilities,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Liabilities,,,Claims Payable,,Total Liabilities,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Liabilities,,,Unearned Revenue,,Total Liabilities,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Liabilities,,,Advances from Other Funds,,Total Liabilities,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Liabilities,,,Notes Payable,,Total Liabilities,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Liabilities,,,Other Liabilities,,Total Liabilities,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Liabilities,,,,Total Liabilities,"Total Liabilities, Deferred Inflows of Resources and Fund Balances",,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,,,,Total Deferred Inflows of Resources,,"Total Liabilities, Deferred Inflows of Resources and Fund Balances",,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Fund Balances,,,Nonspendable,,Total Fund Balances (Deficits),,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Fund Balances,,,Restricted,,Total Fund Balances (Deficits),,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Fund Balances,,,Committed,,Total Fund Balances (Deficits),,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Fund Balances,,,Assigned,,Total Fund Balances (Deficits),,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Fund Balances,,,Unassigned,,Total Fund Balances (Deficits),,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Fund Balances,,,,Total Fund Balances (Deficits),"Total Liabilities, Deferred Inflows of Resources and Fund Balances",,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,,,,,"Total Liabilities, Deferred Inflows of Resources and Fund Balances",,,,,
"STATEMENT OF REVENUES, EXPENDITURES AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,General,Revenues,,,Property Taxes,,Total Revenues,,,propertyTaxesRevenue,
"STATEMENT OF REVENUES, EXPENDITURES AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,General,Revenues,,,Income Taxes,,Total Revenues,,,,
"STATEMENT OF REVENUES, EXPENDITURES AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,General,Revenues,,,Intergovernmental,,Total Revenues,,,,
"STATEMENT OF REVENUES, EXPENDITURES AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,General,Revenues,,,Investment Earnings,,Total Revenues,,,,
"STATEMENT OF REVENUES, EXPENDITURES AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,General,Revenues,,,Tuition and Fees,,Total Revenues,,,,
"STATEMENT OF REVENUES, EXPENDITURES AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,General,Revenues,,,Extracurricular Activities,,Total Revenues,,,,
"STATEMENT OF REVENUES, EXPENDITURES AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,General,Revenues,,,Rentals,,Total Revenues,,,,
"STATEMENT OF REVENUES, EXPENDITURES AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,General,Revenues,,,Charges for Services,,Total Revenues,,,,
"STATEMENT OF REVENUES, EXPENDITURES AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,General,Revenues,,,Contributions and Donations,,Total Revenues,,,,
"STATEMENT OF REVENUES, EXPENDITURES AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,General,Revenues,,,Payment in Lieu of Taxes,,Total Revenues,,,,
"STATEMENT OF REVENUES, EXPENDITURES AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,General,Revenues,,,Miscellaneous,,Total Revenues,,,,
"STATEMENT OF REVENUES, EXPENDITURES AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,General,Revenues,,,Other Revenues,,Total Revenues,,,,
"STATEMENT OF REVENUES, EXPENDITURES AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,General,Revenues,,,,Total Revenues,Excess of Revenues Over (Under) Expenditures,,,,
"STATEMENT OF REVENUES, EXPENDITURES AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,General,Expenditures,Current,  Instruction,Regular,,Total Expenditures,,,,
"STATEMENT OF REVENUES, EXPENDITURES AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,General,Expenditures,Current,  Instruction,Special,,Total Expenditures,,,,
"STATEMENT OF REVENUES, EXPENDITURES AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,General,Expenditures,Current,  Instruction,Vocational,,Total Expenditures,,,,
"STATEMENT OF REVENUES, EXPENDITURES AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,General,Expenditures,Current,  Instruction,Adult or Continuing,,Total Expenditures,,,,
"STATEMENT OF REVENUES, EXPENDITURES AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,General,Expenditures,Current,  Instruction,Student Intervention Services,,Total Expenditures,,,,
"STATEMENT OF REVENUES, EXPENDITURES AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,General,Expenditures,Current,  Instruction,Other Instruction,,Total Expenditures,,,,
"STATEMENT OF REVENUES, EXPENDITURES AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,General,Expenditures,Current,  Support Services,Pupils,,Total Expenditures,,,,
"STATEMENT OF REVENUES, EXPENDITURES AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,General,Expenditures,Current,  Support Services,Instructional Staff,,Total Expenditures,,,,
"STATEMENT OF REVENUES, EXPENDITURES AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,General,Expenditures,Current,  Support Services,Board of Education,,Total Expenditures,,,,
"STATEMENT OF REVENUES, EXPENDITURES AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,General,Expenditures,Current,  Support Services,Administration,,Total Expenditures,,,,
"STATEMENT OF REVENUES, EXPENDITURES AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,General,Expenditures,Current,  Support Services,Fiscal,,Total Expenditures,,,,
"STATEMENT OF REVENUES, EXPENDITURES AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,General,Expenditures,Current,  Support Services,Business,,Total Expenditures,,,,
"STATEMENT OF REVENUES, EXPENDITURES AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,General,Expenditures,Current,  Support Services,Operation and Maintenance of Plant,,Total Expenditures,,,,
"STATEMENT OF REVENUES, EXPENDITURES AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,General,Expenditures,Current,  Support Services,Pupil Transportation,,Total Expenditures,,,,
"STATEMENT OF REVENUES, EXPENDITURES AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,General,Expenditures,Current,  Support Services,Central,,Total Expenditures,,,,
"STATEMENT OF REVENUES, EXPENDITURES AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,General,Expenditures,Current,,Operation of Non-Instructional Services,,Total Expenditures,,,,
"STATEMENT OF REVENUES, EXPENDITURES AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,General,Expenditures,Current,,Extracurricular Activities,,Total Expenditures,,,,
"STATEMENT OF REVENUES, EXPENDITURES AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,General,Expenditures,,,Capital Outlay,,Total Expenditures,,,,
"STATEMENT OF REVENUES, EXPENDITURES AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,General,Expenditures,Debt Service,,Principal Retirement,,Total Expenditures,,,,
"STATEMENT OF REVENUES, EXPENDITURES AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,General,Expenditures,Debt Service,,Interest and Fiscal Charges,,Total Expenditures,,,,
"STATEMENT OF REVENUES, EXPENDITURES AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,General,Expenditures,Debt Service,,Bond Issuance Costs,,Total Expenditures,,,,
"STATEMENT OF REVENUES, EXPENDITURES AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,General,Expenditures,Debt Service,,Other Debt Service,,Total Expenditures,,,,
"STATEMENT OF REVENUES, EXPENDITURES AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,General,Expenditures,,,Other Expenditures,,Total Expenditures,,,,
