Page Description 1,Page Description 2,Column Description,Category,Subcategory,Tertiary Category,Field,Calculated,SumGroup
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Other Financing Sources Uses,,,Other Financing Uses,,Total Other Financing Sources Uses
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Other Financing Sources Uses,,,,Total Other Financing Sources Uses,Net Change in Fund Balances
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Special and Extraordinary Items,,,Special Item,,Total Special and Extraordinary Items
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Special and Extraordinary Items,,,Extraordinary Item,,Total Special and Extraordinary Items
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Special and Extraordinary Items,,,,Total Special and Extraordinary Items,Net Change in Fund Balances
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,,,,,Net Change in Fund Balances,
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,,,,Fund Balances Beginning of Year,,
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Fund Cash Balances End of Year,,,Nonspendable,,Fund Cash Balances End of Year
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Fund Cash Balances End of Year,,,Restricted,,Fund Cash Balances End of Year
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Fund Cash Balances End of Year,,,Committed,,Fund Cash Balances End of Year
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Fund Cash Balances End of Year,,,Assigned,,Fund Cash Balances End of Year
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Fund Cash Balances End of Year,,,Unassigned Deficit,,Fund Cash Balances End of Year
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Fund Cash Balances End of Year,,,,Fund Cash Balances End of Year,
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Receipts,,,Property Taxes,,Total Receipts
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Receipts,,,Sales Taxes,,Total Receipts
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Receipts,,,Intergovernmental,,Total Receipts
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Receipts,,,Interest,,Total Receipts
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Receipts,,,Licenses and Permits,,Total Receipts
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Receipts,,,Fines and Forfeitures,,Total Receipts
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Receipts,,,Rentals,,Total Receipts
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Receipts,,,Charges for Services,,Total Receipts
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Receipts,,,Contributions and Donations,,Total Receipts
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Receipts,,,Special Assessments,,Total Receipts
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Receipts,,,Other Receipts,,Total Receipts
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Receipts,,,,Total Receipts,Excess of Receipts Over Under Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Disbursements,Current,General Government,Legislative and Executive,,Total Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Disbursements,Current,General Government,Judicial,,Total Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Disbursements,,,Public Safety,,Total Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Disbursements,,,Public Works,,Total Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Disbursements,,,Health,,Total Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Disbursements,,,Human Services,,Total Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Disbursements,,,Conservation and Recreation,,Total Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Disbursements,,,Capital Outlay,,Total Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Disbursements,,,Intergovernmental,,Total Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Disbursements,Debt Service,,Principal Retirement,,Total Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Disbursements,Debt Service,,Interest and Fiscal Charges,,Total Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Disbursements,Debt Service,,Bond Issuance Costs,,Total Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Disbursements,Debt Service,,Other,,Total Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Disbursements,,,Other Disbursements,,Total Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Disbursements,,,,Total Disbursements,Excess of Receipts Over Under Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,,,,,Excess of Receipts Over Under Disbursements,Net Change in Fund Balances
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Other Financing Sources Uses,,,Sale of Capital Assets,,Total Other Financing Sources Uses
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Other Financing Sources Uses,,,General Obligation Bonds Issued,,Total Other Financing Sources Uses
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Other Financing Sources Uses,,,Refunding Bonds Issued,,Total Other Financing Sources Uses
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Other Financing Sources Uses,,,Premium on Debt Issuance,,Total Other Financing Sources Uses
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Other Financing Sources Uses,,,Payment to Refunded Bond Escrow Agent,,Total Other Financing Sources Uses
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Other Financing Sources Uses,,,Transfers In,,Total Other Financing Sources Uses
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Other Financing Sources Uses,,,Transfers Out,,Total Other Financing Sources Uses
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Other Financing Sources Uses,,,Other Financing Sources,,Total Other Financing Sources Uses
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Other Financing Sources Uses,,,Other Financing Uses,,Total Other Financing Sources Uses
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Other Financing Sources Uses,,,,Total Other Financing Sources Uses,Net Change in Fund Balances
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Special and Extraordinary Items,,,Special Item,,Total Special and Extraordinary Items
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Special and Extraordinary Items,,,Extraordinary Item,,Total Special and Extraordinary Items
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Special and Extraordinary Items,,,,Total Special and Extraordinary Items,Net Change in Fund Balances
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,,,,,Net Change in Fund Balances,
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,,,,Fund Balances Beginning of Year,,
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Fund Cash Balances End of Year,,,Nonspendable,,Fund Cash Balances End of Year
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Fund Cash Balances End of Year,,,Restricted,,Fund Cash Balances End of Year
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Fund Cash Balances End of Year,,,Committed,,Fund Cash Balances End of Year
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Fund Cash Balances End of Year,,,Assigned,,Fund Cash Balances End of Year
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Fund Cash Balances End of Year,,,Unassigned Deficit,,Fund Cash Balances End of Year
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,,,,,Fund Cash Balances End of Year,
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Water,Operating Receipts,,,Sales,,Total Operating Receipts
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Water,Operating Receipts,,,Charges for Services,,Total Operating Receipts
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Water,Operating Receipts,,,Miscellaneous,,Total Operating Receipts
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Water,Operating Receipts,,,Other Operating Receipts,,Total Operating Receipts
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Water,Operating Receipts,,,,Total Operating Receipts,Operating Income Loss
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Water,Operating Disbursements,,,Salaries,,Total Operating Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Water,Operating Disbursements,,,Fringe Benefits,,Total Operating Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Water,Operating Disbursements,,,Purchased Services,,Total Operating Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Water,Operating Disbursements,,,Materials and Supplies,,Total Operating Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Water,Operating Disbursements,,,Cost of Sales,,Total Operating Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Water,Operating Disbursements,,,Depreciation,,Total Operating Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Water,Operating Disbursements,,,Claims,,Total Operating Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Water,Operating Disbursements,,,Capital Outlay,,Total Operating Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Water,Operating Disbursements,,,Other Operating Disbursements,,Total Operating Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Water,Operating Disbursements,,,,Total Operating Disbursements,Operating Income Loss
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Water,,,,,Operating Income Loss,Income Loss before Capital Contributions Special and Extraordinary Items and Transfers
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Water,Non Operating Receipts Disbursements,,,Sale of Bonds,,Total Non Operating Receipts Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Water,Non Operating Receipts Disbursements,,,Sale of Notes,,Total Non Operating Receipts Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Water,Non Operating Receipts Disbursements,,,Other Debt Proceeds,,Total Non Operating Receipts Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Water,Non Operating Receipts Disbursements,Debt Service,,Redemption of Principal,,Total Non Operating Receipts Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Water,Non Operating Receipts Disbursements,Debt Service,,Interest and Other Fiscal Charges,,Total Non Operating Receipts Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Water,Non Operating Receipts Disbursements,Debt Service,,Issuance Costs,,Total Non Operating Receipts Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Water,Non Operating Receipts Disbursements,,,Sale of Capital Assets,,Total Non Operating Receipts Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Water,Non Operating Receipts Disbursements,,,Interest Receipts,,Total Non Operating Receipts Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Water,Non Operating Receipts Disbursements,,,Operating Grants,,Total Non Operating Receipts Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Water,Non Operating Receipts Disbursements,,,Other Non Operating Receipts,,Total Non Operating Receipts Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Water,Non Operating Receipts Disbursements,,,Other Non Operating Disbursements,,Total Non Operating Receipts Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Water,Non Operating Receipts Disbursements,,,,Total Non Operating Receipts Disbursements,Income Loss before Capital Contributions Special and Extraordinary Items and Transfers
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Water,,,,,Income Loss before Capital Contributions Special and Extraordinary Items and Transfers,Change in Fund Balance Net position
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Water,,,,Capital Contributions,,Change in Fund Balance Net position
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Water,,,,Special Items,,Change in Fund Balance Net position
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Water,,,,Extraordinary Items,,Change in Fund Balance Net position
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Water,,,,Transfers In,,Change in Fund Balance Net position
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Water,,,,Transfers Out,,Change in Fund Balance Net position
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Water,,,,,Change in Fund Balance Net position,Fund Balance Net position End of Year
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Water,,,,Fund Balance or Net Position Beginning of Year,,Fund Balance Net position End of Year
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Water,,,,,Fund Balance Net position End of Year,
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Sewer,Operating Receipts,,,Sales,,Total Operating Receipts
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Sewer,Operating Receipts,,,Charges for Services,,Total Operating Receipts
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Sewer,Operating Receipts,,,Miscellaneous,,Total Operating Receipts
