Page Description 1,Page Description 2,Column Description,Category,Subcategory,Tertiary Category,Field,Calculated,SumGroup
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Expenses,Security of Persons and Property,,Fire,,Total Governmental Activities Expenses
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Expenses,Security of Persons and Property,,Other,,Total Governmental Activities Expenses
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Expenses,,,Public Services,,Total Governmental Activities Expenses
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Expenses,,,Public Health,,Total Governmental Activities Expenses
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Expenses,,,Leisure Time Activities,,Total Governmental Activities Expenses
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Expenses,,,Community and Economic Development,,Total Governmental Activities Expenses
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Expenses,,,Public Works,,Total Governmental Activities Expenses
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Expenses,,,Basic Utility Service,,Total Governmental Activities Expenses
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Expenses,,,Transportation,,Total Governmental Activities Expenses
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Expenses,,,General Government,,Total Governmental Activities Expenses
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Expenses,,,Intergovernmental,,Total Governmental Activities Expenses
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Expenses,,,Interest and Fiscal Charges,,Total Governmental Activities Expenses
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Expenses,,,Depreciation Expense,,Total Governmental Activities Expenses
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Expenses,,,,Total Governmental Activities Expenses,Change in Net Position
STATEMENT OF ACTIVITIES,,Governmental Activities,,,,,Change in Net Position,Net Position End of Year
STATEMENT OF ACTIVITIES,,Governmental Activities,,,,Net Position Beginning of Year,,Net Position End of Year
STATEMENT OF ACTIVITIES,,Governmental Activities,,,,,Net Position End of Year,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Assets,,,Cash and Cash Equivalents,,Total Assets
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Assets,,,Investments,,Total Assets
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Assets,,,Inventory Held for Resale,,Total Assets
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Assets,,,Materials and Supplies Inventory,,Total Assets
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Assets,,,Accrued Interest Receivable,,Total Assets
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Assets,,,Accounts Receivable,,Total Assets
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Assets,,,Interfund Receivable,,Total Assets
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Assets,,,Due from Other Funds,,Total Assets
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Assets,,,Intergovernmental Receivable,,Total Assets
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Assets,,,Prepaid Items,,Total Assets
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Assets,,,Income Taxes Receivable,,Total Assets
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Assets,,,Property Taxes Receivable,,Total Assets
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Assets,,,Revenue in Lieu of Taxes Receivable,,Total Assets
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Assets,,,Due from Other Governments,,Total Assets
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Assets,,,Notes Receivable,,Total Assets
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Assets,,,Loans Receivable,,Total Assets
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Assets,,,Other Assets,,Total Assets
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Assets,,,,Total Assets,Total Assets and Deferred Outflows of Resources
BALANCE SHEET,GOVERNMENTAL FUNDS,General,,,,Total Deferred Outflows of Resources,,Total Assets and Deferred Outflows of Resources
BALANCE SHEET,GOVERNMENTAL FUNDS,General,,,,,Total Assets and Deferred Outflows of Resources,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Liabilities,,,Accounts Payable,,Total Liabilities
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Liabilities,,,Accrued Wages and Benefits,,Total Liabilities
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Liabilities,,,Contracts Payable,,Total Liabilities
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Liabilities,,,Intergovernmental Payable,,Total Liabilities
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Liabilities,,,Due to Other Governments,,Total Liabilities
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Liabilities,,,Matured Interest Payable,,Total Liabilities
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Liabilities,,,Matured Bonds Payable,,Total Liabilities
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Liabilities,,,Retainage Payable,,Total Liabilities
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Liabilities,,,Interfund Payable,,Total Liabilities
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Liabilities,,,Due to Other Funds,,Total Liabilities
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Liabilities,,,Claims Payable,,Total Liabilities
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Liabilities,,,Unearned Revenue,,Total Liabilities
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Liabilities,,,Notes Payable,,Total Liabilities
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Liabilities,,,Other Liabilities,,Total Liabilities
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Liabilities,,,,Total Liabilities,Total Liabilities Deferred Inflows of Resources and Fund Balances
BALANCE SHEET,GOVERNMENTAL FUNDS,General,,,,Total Deferred Inflows of Resources,,Total Liabilities Deferred Inflows of Resources and Fund Balances
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Fund Balances,,,Nonspendable,,Total Fund Balances
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Fund Balances,,,Restricted,,Total Fund Balances
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Fund Balances,,,Committed,,Total Fund Balances
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Fund Balances,,,Assigned,,Total Fund Balances
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Fund Balances,,,Unassigned,,Total Fund Balances
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Fund Balances,,,,Total Fund Balances,Total Liabilities Deferred Inflows of Resources and Fund Balances
BALANCE SHEET,GOVERNMENTAL FUNDS,General,,,,,Total Liabilities Deferred Inflows of Resources and Fund Balances,
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Assets,,,Cash and Cash Equivalents,,Total Assets
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Assets,,,Investments,,Total Assets
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Assets,,,Inventory Held for Resale,,Total Assets
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Assets,,,Materials and Supplies Inventory,,Total Assets
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Assets,,,Accrued Interest Receivable,,Total Assets
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Assets,,,Accounts Receivable,,Total Assets
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Assets,,,Interfund Receivable,,Total Assets
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Assets,,,Due from Other Funds,,Total Assets
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Assets,,,Intergovernmental Receivable,,Total Assets
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Assets,,,Prepaid Items,,Total Assets
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Assets,,,Income Taxes Receivable,,Total Assets
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Assets,,,Property Taxes Receivable,,Total Assets
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Assets,,,Revenue in Lieu of Taxes Receivable,,Total Assets
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Assets,,,Due from Other Governments,,Total Assets
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Assets,,,Notes Receivable,,Total Assets
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Assets,,,Loans Receivable,,Total Assets
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Assets,,,Other Assets,,Total Assets
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Assets,,,,Total Assets,Total Assets and Deferred Outflows of Resources
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,,,,Total Deferred Outflows of Resources,,Total Assets and Deferred Outflows of Resources
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,,,,,Total Assets and Deferred Outflows of Resources,
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Liabilities,,,Accounts Payable,,Total Liabilities
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Liabilities,,,Accrued Wages and Benefits,,Total Liabilities
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Liabilities,,,Contracts Payable,,Total Liabilities
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Liabilities,,,Intergovernmental Payable,,Total Liabilities
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Liabilities,,,Due to Other Governments,,Total Liabilities
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Liabilities,,,Matured Interest Payable,,Total Liabilities
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Liabilities,,,Matured Bonds Payable,,Total Liabilities
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Liabilities,,,Retainage Payable,,Total Liabilities
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Liabilities,,,Interfund Payable,,Total Liabilities
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Liabilities,,,Due to Other Funds,,Total Liabilities
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Liabilities,,,Claims Payable,,Total Liabilities
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Liabilities,,,Unearned Revenue,,Total Liabilities
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Liabilities,,,Notes Payable,,Total Liabilities
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Liabilities,,,Other Liabilities,,Total Liabilities
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Liabilities,,,,Total Liabilities,Total Liabilities Deferred Inflows of Resources and Fund Balances
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,,,,Total Deferred Inflows of Resources,,Total Liabilities Deferred Inflows of Resources and Fund Balances
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Fund Balances,,,Nonspendable,,Total Fund Balances
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Fund Balances,,,Restricted,,Total Fund Balances
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Fund Balances,,,Committed,,Total Fund Balances
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Fund Balances,,,Assigned,,Total Fund Balances
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Fund Balances,,,Unassigned,,Total Fund Balances
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Fund Balances,,,,Total Fund Balances,Total Liabilities Deferred Inflows of Resources and Fund Balances
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,,,,,Total Liabilities Deferred Inflows of Resources and Fund Balances,
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Revenues,,,Property Taxes,,Total Revenues
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Revenues,,,Income Taxes,,Total Revenues
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Revenues,,,Special Assessments,,Total Revenues
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Revenues,,,Intergovernmental,,Total Revenues
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Revenues,,,Interest,,Total Revenues
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Revenues,,,Licenses and Permits,,Total Revenues
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Revenues,,,Fines and Forfeitures,,Total Revenues
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Revenues,,,Rentals,,Total Revenues
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Revenues,,,Charges for Services,,Total Revenues
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Revenues,,,Contributions and Donations,,Total Revenues
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Revenues,,,Other Revenues,,Total Revenues
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Revenues,,,,Total Revenues,Excess of Revenues Over Under Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Expenditures,Current,Security of Persons and Property,Police,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Expenditures,Current,Security of Persons and Property,Fire,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Expenditures,Current,Security of Persons and Property,Other,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Expenditures,Current,,Public Services,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Expenditures,Current,,Public Health,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Expenditures,Current,,Leisure Time Activities,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Expenditures,Current,,Community and Econcomic Development,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Expenditures,Current,,Basic Utility Service,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Expenditures,Current,,Public Works,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Expenditures,Current,,Transportation,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Expenditures,Current,,General Government,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Expenditures,Current,,Intergovernmental,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Expenditures,,,Capital Outlay,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Expenditures,Debt Service,,Principal Retirement,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Expenditures,Debt Service,,Interest and Fiscal Charges,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Expenditures,Debt Service,,Bond Issuance Costs,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Expenditures,Debt Service,,Other,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Expenditures,,,Other Expenditures,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Expenditures,,,,Total Expenditures,Excess of Revenues Over Under Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,,,,,Excess of Revenues Over Under Expenditures,Net Change in Fund Balances
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Other Financing Sources Uses,,,Sale of Capital Assets,,Total Other Financing Sources Uses
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Other Financing Sources Uses,,,Inception of Capital Lease,,Total Other Financing Sources Uses
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Other Financing Sources Uses,,,General Obligation Bonds Issued,,Total Other Financing Sources Uses
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Other Financing Sources Uses,,,Refunding Bonds Issued,,Total Other Financing Sources Uses
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Other Financing Sources Uses,,,Premium on Debt Issuance,,Total Other Financing Sources Uses
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Other Financing Sources Uses,,,Payment to Refunded Bond Escrow Agent,,Total Other Financing Sources Uses
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Other Financing Sources Uses,,,Transfers In,,Total Other Financing Sources Uses
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Other Financing Sources Uses,,,Transfers Out,,Total Other Financing Sources Uses
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Other Financing Sources Uses,,,Other Financing Sources,,Total Other Financing Sources Uses
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Other Financing Sources Uses,,,Other Financing Uses,,Total Other Financing Sources Uses
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Other Financing Sources Uses,,,,Total Other Financing Sources Uses,Net Change in Fund Balances
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Special and Extraordinary Items,,,Special Item,,Total Special and Extraordinary Items
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Special and Extraordinary Items,,,Extraordinary Item,,Total Special and Extraordinary Items
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,Special and Extraordinary Items,,,,Total Special and Extraordinary Items,Net Change in Fund Balances
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,,,,,Net Change in Fund Balances,Fund Balances End of Year
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,,,,Fund Balances Beginning of Year,,Fund Balances End of Year
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,,,,Increase Decrease in Inventory or Prepaid Assets,,Fund Balances End of Year
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,General,,,,,Fund Balances End of Year,
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Revenues,,,Property Taxes,,Total Revenues
