Page Description 1,Page Description 2,Column Description,Category,Subcategory,Tertiary Category,Field,Calculated,SumGroup
Statement of Activities,,Governmental Activities,Expenses,,,Other Expenses,,Total Governmental Activities Expenses
Statement of Activities,,Governmental Activities,Expenses,,,,Total Governmental Activities Expenses,Change in Net Position
Statement of Activities,,Governmental Activities,,,,,Change in Net Position,Net Position End of Year
Statement of Activities,,Governmental Activities,,,,Net Position Beginning of Year,,Net Position End of Year
Statement of Activities,,Governmental Activities,,,,,Net Position End of Year,
Balance Sheet,Governmental Funds,General,Assets,,,Cash and Cash Equivalents,,Total Assets
Balance Sheet,Governmental Funds,General,Assets,,,Investments,,Total Assets
Balance Sheet,Governmental Funds,General,Assets,,,Inventory Held for Resale,,Total Assets
Balance Sheet,Governmental Funds,General,Assets,,,Materials and Supplies Inventory,,Total Assets
Balance Sheet,Governmental Funds,General,Assets,,,Accrued Interest Receivable,,Total Assets
Balance Sheet,Governmental Funds,General,Assets,,,Accounts Receivable,,Total Assets
Balance Sheet,Governmental Funds,General,Assets,,,Interfund Receivable,,Total Assets
Balance Sheet,Governmental Funds,General,Assets,,,Due from Other Funds,,Total Assets
Balance Sheet,Governmental Funds,General,Assets,,,Intergovernmental Receivable,,Total Assets
Balance Sheet,Governmental Funds,General,Assets,,,Prepaid Items,,Total Assets
Balance Sheet,Governmental Funds,General,Assets,,,Property Taxes Receivable,,Total Assets
Balance Sheet,Governmental Funds,General,Assets,,,Sales Tax Receivable,,Total Assets
Balance Sheet,Governmental Funds,General,Assets,,,Revenue in Lieu of Taxes Receivable,,Total Assets
Balance Sheet,Governmental Funds,General,Assets,,,Due from Other Governments,,Total Assets
Balance Sheet,Governmental Funds,General,Assets,,,Notes Receivable,,Total Assets
Balance Sheet,Governmental Funds,General,Assets,,,Loans Receivable,,Total Assets
Balance Sheet,Governmental Funds,General,Assets,,,Other Assets,,Total Assets
Balance Sheet,Governmental Funds,General,Assets,,,,Total Assets,Total Assets and Deferred Outflows of Resources
Balance Sheet,Governmental Funds,General,,,,Total Deferred Outflows of Resources,,Total Assets and Deferred Outflows of Resources
Balance Sheet,Governmental Funds,General,,,,,Total Assets and Deferred Outflows of Resources,
Balance Sheet,Governmental Funds,General,Liabilities,,,Accounts Payable,,Total Liabilities
Balance Sheet,Governmental Funds,General,Liabilities,,,Accrued Wages and Benefits,,Total Liabilities
Balance Sheet,Governmental Funds,General,Liabilities,,,Contracts Payable,,Total Liabilities
Balance Sheet,Governmental Funds,General,Liabilities,,,Intergovernmental Payable,,Total Liabilities
Balance Sheet,Governmental Funds,General,Liabilities,,,Due to Other Governments,,Total Liabilities
Balance Sheet,Governmental Funds,General,Liabilities,,,Matured Interest Payable,,Total Liabilities
Balance Sheet,Governmental Funds,General,Liabilities,,,Matured Bonds Payable,,Total Liabilities
Balance Sheet,Governmental Funds,General,Liabilities,,,Retainage Payable,,Total Liabilities
Balance Sheet,Governmental Funds,General,Liabilities,,,Interfund Payable,,Total Liabilities
Balance Sheet,Governmental Funds,General,Liabilities,,,Due to Other Funds,,Total Liabilities
Balance Sheet,Governmental Funds,General,Liabilities,,,Claims Payable,,Total Liabilities
Balance Sheet,Governmental Funds,General,Liabilities,,,Unearned Revenue,,Total Liabilities
Balance Sheet,Governmental Funds,General,Liabilities,,,Notes Payable,,Total Liabilities
Balance Sheet,Governmental Funds,General,Liabilities,,,Other Liabilities,,Total Liabilities
Balance Sheet,Governmental Funds,General,Liabilities,,,,Total Liabilities,Total Liabilities Deferred Inflows of Resources and Fund Balances
Balance Sheet,Governmental Funds,General,,,,Total Deferred Inflows of Resources,,Total Liabilities Deferred Inflows of Resources and Fund Balances
Balance Sheet,Governmental Funds,General,Fund Balances,,,Nonspendable,,Total Fund Balances
Balance Sheet,Governmental Funds,General,Fund Balances,,,Restricted,,Total Fund Balances
Balance Sheet,Governmental Funds,General,Fund Balances,,,Committed,,Total Fund Balances
Balance Sheet,Governmental Funds,General,Fund Balances,,,Assigned,,Total Fund Balances
Balance Sheet,Governmental Funds,General,Fund Balances,,,Unassigned,,Total Fund Balances
Balance Sheet,Governmental Funds,General,Fund Balances,,,,Total Fund Balances,Total Liabilities Deferred Inflows of Resources and Fund Balances
Balance Sheet,Governmental Funds,General,,,,,Total Liabilities Deferred Inflows of Resources and Fund Balances,
Balance Sheet,Governmental Funds,Total Governmental,Assets,,,Cash and Cash Equivalents,,Total Assets
Balance Sheet,Governmental Funds,Total Governmental,Assets,,,Investments,,Total Assets
Balance Sheet,Governmental Funds,Total Governmental,Assets,,,Inventory Held for Resale,,Total Assets
Balance Sheet,Governmental Funds,Total Governmental,Assets,,,Materials and Supplies Inventory,,Total Assets
Balance Sheet,Governmental Funds,Total Governmental,Assets,,,Accrued Interest Receivable,,Total Assets
Balance Sheet,Governmental Funds,Total Governmental,Assets,,,Accounts Receivable,,Total Assets
Balance Sheet,Governmental Funds,Total Governmental,Assets,,,Interfund Receivable,,Total Assets
Balance Sheet,Governmental Funds,Total Governmental,Assets,,,Due from Other Funds,,Total Assets
Balance Sheet,Governmental Funds,Total Governmental,Assets,,,Intergovernmental Receivable,,Total Assets
Balance Sheet,Governmental Funds,Total Governmental,Assets,,,Prepaid Items,,Total Assets
Balance Sheet,Governmental Funds,Total Governmental,Assets,,,Property Taxes Receivable,,Total Assets
Balance Sheet,Governmental Funds,Total Governmental,Assets,,,Sales Tax Receivable,,Total Assets
Balance Sheet,Governmental Funds,Total Governmental,Assets,,,Revenue in Lieu of Taxes Receivable,,Total Assets
Balance Sheet,Governmental Funds,Total Governmental,Assets,,,Due from Other Governments,,Total Assets
Balance Sheet,Governmental Funds,Total Governmental,Assets,,,Notes Receivable,,Total Assets
Balance Sheet,Governmental Funds,Total Governmental,Assets,,,Loans Receivable,,Total Assets
Balance Sheet,Governmental Funds,Total Governmental,Assets,,,Other Assets,,Total Assets
Balance Sheet,Governmental Funds,Total Governmental,Assets,,,,Total Assets,Total Assets and Deferred Outflows of Resources
Balance Sheet,Governmental Funds,Total Governmental,,,,Total Deferred Outflows of Resources,,Total Assets and Deferred Outflows of Resources
Balance Sheet,Governmental Funds,Total Governmental,,,,,Total Assets and Deferred Outflows of Resources,
Balance Sheet,Governmental Funds,Total Governmental,Liabilities,,,Accounts Payable,,Total Liabilities
Balance Sheet,Governmental Funds,Total Governmental,Liabilities,,,Accrued Wages and Benefits,,Total Liabilities
Balance Sheet,Governmental Funds,Total Governmental,Liabilities,,,Contracts Payable,,Total Liabilities
Balance Sheet,Governmental Funds,Total Governmental,Liabilities,,,Intergovernmental Payable,,Total Liabilities
Balance Sheet,Governmental Funds,Total Governmental,Liabilities,,,Due to Other Governments,,Total Liabilities
Balance Sheet,Governmental Funds,Total Governmental,Liabilities,,,Matured Interest Payable,,Total Liabilities
Balance Sheet,Governmental Funds,Total Governmental,Liabilities,,,Matured Bonds Payable,,Total Liabilities
Balance Sheet,Governmental Funds,Total Governmental,Liabilities,,,Retainage Payable,,Total Liabilities
Balance Sheet,Governmental Funds,Total Governmental,Liabilities,,,Interfund Payable,,Total Liabilities
Balance Sheet,Governmental Funds,Total Governmental,Liabilities,,,Due to Other Funds,,Total Liabilities
Balance Sheet,Governmental Funds,Total Governmental,Liabilities,,,Claims Payable,,Total Liabilities
Balance Sheet,Governmental Funds,Total Governmental,Liabilities,,,Unearned Revenue,,Total Liabilities
Balance Sheet,Governmental Funds,Total Governmental,Liabilities,,,Notes Payable,,Total Liabilities
Balance Sheet,Governmental Funds,Total Governmental,Liabilities,,,Other Liabilities,,Total Liabilities
Balance Sheet,Governmental Funds,Total Governmental,Liabilities,,,,Total Liabilities,Total Liabilities Deferred Inflows of Resources and Fund Balances
Balance Sheet,Governmental Funds,Total Governmental,,,,Total Deferred Inflows of Resources,,Total Liabilities Deferred Inflows of Resources and Fund Balances
Balance Sheet,Governmental Funds,Total Governmental,Fund Balances,,,Nonspendable,,Total Fund Balances
Balance Sheet,Governmental Funds,Total Governmental,Fund Balances,,,Restricted,,Total Fund Balances
Balance Sheet,Governmental Funds,Total Governmental,Fund Balances,,,Committed,,Total Fund Balances
Balance Sheet,Governmental Funds,Total Governmental,Fund Balances,,,Assigned,,Total Fund Balances
Balance Sheet,Governmental Funds,Total Governmental,Fund Balances,,,Unassigned,,Total Fund Balances
Balance Sheet,Governmental Funds,Total Governmental,Fund Balances,,,,Total Fund Balances,Total Liabilities Deferred Inflows of Resources and Fund Balances
Balance Sheet,Governmental Funds,Total Governmental,,,,,Total Liabilities Deferred Inflows of Resources and Fund Balances,
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,General,Revenues,,,Property Taxes,,Total Revenues
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,General,Revenues,,,Sales Taxes,,Total Revenues
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,General,Revenues,,,Intergovernmental,,Total Revenues
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,General,Revenues,,,Interest,,Total Revenues
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,General,Revenues,,,Licenses and Permits,,Total Revenues
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,General,Revenues,,,Fines and Forfeitures,,Total Revenues
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,General,Revenues,,,Rentals,,Total Revenues
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,General,Revenues,,,Charges for Services,,Total Revenues
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,General,Revenues,,,Contributions and Donations,,Total Revenues
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,General,Revenues,,,Special Assessments,,Total Revenues
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,General,Revenues,,,Other Revenues,,Total Revenues
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,General,Revenues,,,,Total Revenues,Excess of Revenues Over Under Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,General,Expenditures,General Government,,Legislative and Executive,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,General,Expenditures,General Government,,Judicial,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,General,Expenditures,,,Public Safety,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,General,Expenditures,,,Public Works,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,General,Expenditures,,,Health,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,General,Expenditures,,,Human Services,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,General,Expenditures,,,Conservation and Recreation,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,General,Expenditures,,,Capital Outlay,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,General,Expenditures,,,Intergovernmental,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,General,Expenditures,Debt Service,,Principal Retirement,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,General,Expenditures,Debt Service,,Interest and Fiscal Charges,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,General,Expenditures,Debt Service,,Bond Issuance Costs,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,General,Expenditures,Debt Service,,Other,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,General,Expenditures,,,Other Expenditures,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,General,Expenditures,,,,Total Expenditures,Excess of Revenues Over Under Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,General,,,,,Excess of Revenues Over Under Expenditures,Net Change in Fund Balances
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,General,Other Financing Sources Uses,,,Sale of Capital Assets,,Total Other Financing Sources Uses
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,General,Other Financing Sources Uses,,,Inception of Capital Lease,,Total Other Financing Sources Uses
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,General,Other Financing Sources Uses,,,General Obligation Bonds Issued,,Total Other Financing Sources Uses
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,General,Other Financing Sources Uses,,,Refunding Bonds Issued,,Total Other Financing Sources Uses
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,General,Other Financing Sources Uses,,,Premium on Debt Issuance,,Total Other Financing Sources Uses
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,General,Other Financing Sources Uses,,,Payment to Refunded Bond Escrow Agent,,Total Other Financing Sources Uses
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,General,Other Financing Sources Uses,,,Transfers In,,Total Other Financing Sources Uses
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,General,Other Financing Sources Uses,,,Transfers Out,,Total Other Financing Sources Uses
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,General,Other Financing Sources Uses,,,Other Financing Sources,,Total Other Financing Sources Uses
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,General,Other Financing Sources Uses,,,Other Financing Uses,,Total Other Financing Sources Uses
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,General,Other Financing Sources Uses,,,,Total Other Financing Sources Uses,Net Change in Fund Balances
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,General,Special and Extraordinary Items,,,Special Item,,Total Special and Extraordinary Items
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,General,Special and Extraordinary Items,,,Extraordinary Item,,Total Special and Extraordinary Items
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,General,Special and Extraordinary Items,,,,Total Special and Extraordinary Items,Net Change in Fund Balances
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,General,,,,,Net Change in Fund Balances,Fund Balances End of Year
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,General,Fund Balances Beginning of Year,,,Fund Balances Beginning of Year,,Fund Balances End of Year
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,General,Increase Decrease in Inventory Or Prepaid Assets,,,Increase Decrease in Inventory Or Prepaid Assets,,Fund Balances End of Year
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,General,,,,,Fund Balances End of Year,
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,Total Governmental,Revenues,,,Property Taxes,,Total Revenues
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,Total Governmental,Revenues,,,Sales Taxes,,Total Revenues
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,Total Governmental,Revenues,,,Intergovernmental,,Total Revenues
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,Total Governmental,Revenues,,,Interest,,Total Revenues
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,Total Governmental,Revenues,,,Licenses and Permits,,Total Revenues
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,Total Governmental,Revenues,,,Fines and Forfeitures,,Total Revenues
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,Total Governmental,Revenues,,,Rentals,,Total Revenues
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,Total Governmental,Revenues,,,Charges for Services,,Total Revenues
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,Total Governmental,Revenues,,,Contributions and Donations,,Total Revenues
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,Total Governmental,Revenues,,,Special Assessments,,Total Revenues
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,Total Governmental,Revenues,,,Other Revenues,,Total Revenues
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,Total Governmental,Revenues,,,,Total Revenues,Excess of Revenues Over Under Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,Total Governmental,Expenditures,General Government,,Legislative and Executive,,Total Expentiures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,Total Governmental,Expenditures,General Government,,Judicial,,Total Expentiures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,Total Governmental,Expenditures,,,Public Safety,,Total Expentiures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,Total Governmental,Expenditures,,,Public Works,,Total Expentiures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,Total Governmental,Expenditures,,,Health,,Total Expentiures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,Total Governmental,Expenditures,,,Human Services,,Total Expentiures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,Total Governmental,Expenditures,,,Conservation and Recreation,,Total Expentiures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,Total Governmental,Expenditures,,,Capital Outlay,,Total Expentiures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,Total Governmental,Expenditures,,,Intergovernmental,,Total Expentiures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,Total Governmental,Expenditures,Debt Service,,Principal Retirement,,Total Expentiures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,Total Governmental,Expenditures,Debt Service,,Interest and Fiscal Charges,,Total Expentiures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,Total Governmental,Expenditures,Debt Service,,Bond Issuance Costs,,Total Expentiures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,Total Governmental,Expenditures,Debt Service,,Other,,Total Expentiures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,Total Governmental,Expenditures,,,Other Expenditures,,Total Expentiures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,Total Governmental,Expenditures,,,,Total Expentiures,Excess of Revenues Over Under Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,Total Governmental,,,,,Excess of Revenues Over Under Expenditures,Net Change in Fund Balances
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,Total Governmental,Other Financing Sources Uses,,,Sale of Capital Assets,,Total Other Financing Sources Uses
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,Total Governmental,Other Financing Sources Uses,,,Inception of Capital Lease,,Total Other Financing Sources Uses
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,Total Governmental,Other Financing Sources Uses,,,General Obligation Bonds Issued,,Total Other Financing Sources Uses
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,Total Governmental,Other Financing Sources Uses,,,Refunding Bonds Issued,,Total Other Financing Sources Uses
