Page Description 1,Page Description 2,Column Description,Category,Subcategory,Tertiary Category,Field,Calculated,SumGroup,Sign,Type,HelpString,TestNumber
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Receipts,,,,Total Cash Receipts,Total Cash Receipts Over (Under) Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Disbursements,Current,Library Services,Public Service and Programs,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Disbursements,Current,Library Services,Collection Development and Processing,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Disbursements,Current,Support Services,Facilities Operation and Maintenance,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Disbursements,Current,Support Services,Information Services Support,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Disbursements,Current,Support Services,Business Administration,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Disbursements,,,Capital Outlay,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Disbursements,Debt Service,,Redemption of Principal,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Disbursements,Debt Service,,Interest and Other Fiscal Charges,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Disbursements,Debt Service,,Issuance Costs,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Disbursements,,,Other Disbursements,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Disbursements,,,,Total Cash Disbursements,Total Cash Receipts Over (Under) Cash Disbursements,-,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,,,,,Total Cash Receipts Over (Under) Cash Disbursements,Net Change in Fund Cash Balances,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Other Financing Receipts (Disbursements),,,General Obligation Bonds Issued,,Total Other Financing Receipts (Disbursements),,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Other Financing Receipts (Disbursements),,,Premium on Debt Issuance,,Total Other Financing Receipts (Disbursements),,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Other Financing Receipts (Disbursements),,,Other Debt Proceeds,,Total Other Financing Receipts (Disbursements),,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Other Financing Receipts (Disbursements),,,Proceeds from Sale of Capital Assets,,Total Other Financing Receipts (Disbursements),,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Other Financing Receipts (Disbursements),,,Advances In,,Total Other Financing Receipts (Disbursements),,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Other Financing Receipts (Disbursements),,,Advances Out,,Total Other Financing Receipts (Disbursements),,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Other Financing Receipts (Disbursements),,,Transfers In,,Total Other Financing Receipts (Disbursements),,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Other Financing Receipts (Disbursements),,,Transfers Out,,Total Other Financing Receipts (Disbursements),,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Other Financing Receipts (Disbursements),,,Other Financing Receipts,,Total Other Financing Receipts (Disbursements),,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Other Financing Receipts (Disbursements),,,Other Financing Disbursements,,Total Other Financing Receipts (Disbursements),,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Other Financing Receipts (Disbursements),,,,Total Other Financing Receipts (Disbursements),Net Change in Fund Cash Balances,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Special and Extraordinary Items,,,Special Item,,Total Special and Extraordinary Items,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Special and Extraordinary Items,,,Extraordinary Item,,Total Special and Extraordinary Items,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Special and Extraordinary Items,,,,Total Special and Extraordinary Items,Net Change in Fund Cash Balances,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,,,,,Net Change in Fund Cash Balances,,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,,,,"Fund Cash Balances, Beginning of Year",,"Fund Cash Balances, End of Year",,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,"Fund Cash Balances, End of Year",,,Nonspendable,,,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,"Fund Cash Balances, End of Year",,,Restricted,,,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,"Fund Cash Balances, End of Year",,,Committed,,,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,"Fund Cash Balances, End of Year",,,Assigned,,,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,"Fund Cash Balances, End of Year",,,Unrestricted,,,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,"Fund Cash Balances, End of Year",,,,"Fund Cash Balances, End of Year",,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,Cash Receipts,,,Property Taxes,,Total Cash Receipts,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,Cash Receipts,,,Other Local Taxes,,Total Cash Receipts,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,Cash Receipts,,,Library and Local Government Support,,Total Cash Receipts,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,Cash Receipts,,,Intergovernmental,,Total Cash Receipts,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,Cash Receipts,,,Payments In Lieu of Taxes,,Total Cash Receipts,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,Cash Receipts,,,Patron Fines and Fees,,Total Cash Receipts,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,Cash Receipts,,,Services Provided to Other Entities,,Total Cash Receipts,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,Cash Receipts,,,"Contributions, Gifts and Donations",,Total Cash Receipts,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,Cash Receipts,,,Earnings on Investments,,Total Cash Receipts,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,Cash Receipts,,,Miscellaneous,,Total Cash Receipts,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,Cash Receipts,,,Other Receipts,,Total Cash Receipts,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,Cash Receipts,,,,Total Cash Receipts,Total Cash Receipts Over (Under) Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,Cash Disbursements,Current,Library Services,Public Service and Programs,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,Cash Disbursements,Current,Library Services,Collection Development and Processing,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,Cash Disbursements,Current,Support Services,Facilities Operation and Maintenance,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,Cash Disbursements,Current,Support Services,Information Services Support,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,Cash Disbursements,Current,Support Services,Business Administration,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,Cash Disbursements,,,Capital Outlay,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,Cash Disbursements,Debt Service,,Redemption of Principal,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,Cash Disbursements,Debt Service,,Interest and Other Fiscal Charges,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,Cash Disbursements,Debt Service,,Issuance Costs,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,Cash Disbursements,,,Other Disbursements,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,Cash Disbursements,,,,Total Cash Disbursements,Total Cash Receipts Over (Under) Cash Disbursements,-,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,,,,,Total Cash Receipts Over (Under) Cash Disbursements,Net Change in Fund Cash Balances,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,Other Financing Receipts (Disbursements),,,General Obligation Bonds Issued,,Total Other Financing Receipts (Disbursements),,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,Other Financing Receipts (Disbursements),,,Premium on Debt Issuance,,Total Other Financing Receipts (Disbursements),,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,Other Financing Receipts (Disbursements),,,Other Debt Proceeds,,Total Other Financing Receipts (Disbursements),,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,Other Financing Receipts (Disbursements),,,Proceeds from Sale of Capital Assets,,Total Other Financing Receipts (Disbursements),,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,Other Financing Receipts (Disbursements),,,Advances In,,Total Other Financing Receipts (Disbursements),,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,Other Financing Receipts (Disbursements),,,Advances Out,,Total Other Financing Receipts (Disbursements),,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,Other Financing Receipts (Disbursements),,,Transfers In,,Total Other Financing Receipts (Disbursements),,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,Other Financing Receipts (Disbursements),,,Transfers Out,,Total Other Financing Receipts (Disbursements),,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,Other Financing Receipts (Disbursements),,,Other Financing Receipts,,Total Other Financing Receipts (Disbursements),,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,Other Financing Receipts (Disbursements),,,Other Financing Disbursements,,Total Other Financing Receipts (Disbursements),,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,Other Financing Receipts (Disbursements),,,,Total Other Financing Receipts (Disbursements),Net Change in Fund Cash Balances,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,Special and Extraordinary Items,,,Special Item,,Total Special and Extraordinary Items,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,Special and Extraordinary Items,,,Extraordinary Item,,Total Special and Extraordinary Items,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,Special and Extraordinary Items,,,,Total Special and Extraordinary Items,Net Change in Fund Cash Balances,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,,,,,Net Change in Fund Cash Balances,,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,,,,"Fund Cash Balances, Beginning of Year",,"Fund Cash Balances, End of Year",,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,"Fund Cash Balances, End of Year",,,Nonspendable,,,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,"Fund Cash Balances, End of Year",,,Restricted,,,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,"Fund Cash Balances, End of Year",,,Committed,,,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,"Fund Cash Balances, End of Year",,,Assigned,,,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,"Fund Cash Balances, End of Year",,,Unrestricted,,,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,"Fund Cash Balances, End of Year",,,,"Fund Cash Balances, End of Year",,,,,
LONG TERM OBLIGATIONS AT YEAR END,,Governmental,,,,General Obligation Bonds,,,,,,
LONG TERM OBLIGATIONS AT YEAR END,,Governmental,,,,Notes Payable,,,,,,
LONG TERM OBLIGATIONS AT YEAR END,,Governmental,,,,Loans Payable,,,,,,
LONG TERM OBLIGATIONS AT YEAR END,,Governmental,,,,Capital Leases,,,,,,
LONG TERM OBLIGATIONS AT YEAR END,,Governmental,,,,Miscellaneous Long Term Bonds,,,,,,
OTHER INFORMATION,DEMOGRAPHIC,,,,,Estimated Number of Patrons,,,,,,
OTHER INFORMATION,DEMOGRAPHIC,,,,,Yearly Circulation,,,,,,
OTHER INFORMATION,DEMOGRAPHIC,,,,,"Full Tax Rate Per $1,000 of Assessed Valuation (if applicable)",,,,,,
OTHER INFORMATION,DEMOGRAPHIC,,,,,Total Assessed Property Tax Valuation (if applicable),,,,,,
OTHER INFORMATION,DEMOGRAPHIC,,,,,Unrestricted General Fund Carryover Cash Balance at Year-End,,,,,,
